volgnr1y,buurty,huisnry,straat1875,huisnr1875,huidigestraat,huidighuisnr
100151,AA,592,Prinsengracht,648,Prinsengracht,648
100501,D,81,Rokin,152,Rokin,152
100101,E,18,Kalverstraat,33,Kalverstraat,33
100301,F,119,Nieuwezijds Voorburgwal,280,Nieuwezijds Voorburgwal,280
100051,J,530,Lange Niezel,6,Lange Niezel,6
100201,LL,379,Leliegracht,21,Leliegracht,21
100401,N,427,Geldersekade,71,Geldersekade,71
100251,X,704,Keizersgracht,493,Keizersgracht,493
100351,X,5,Singel,486,Singel,486
100451,Z,680,Keizersgracht,748,Keizersgracht,748
